"Faixa_Etária";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"Idade ignorada";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12535";"16763";"1811";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31109"
"Ate 30 dias";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1125978";"2572848";"2640940";"2434373";"2557096";"2525085";"2299029";"1479657";"17635006"
"30 dias a 1 ano";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1658866";"0";"0";"0";"0";"0";"20915";"223607";"1903388"
"2 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1921275";"2514964";"2582068";"2648400";"2548017";"2666440";"2687066";"2711857";"2830657";"2732648";"2535917";"2409156";"2558688";"2436145";"1711991";"37495289"
"3 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"221803";"201734";"181337";"178116";"192738";"205179";"162116";"160972";"144410";"105308";"63471";"198290";"157884";"130173";"131065";"2434596"
"4 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1222681";"2107535";"2202689";"2302134";"2202674";"2291658";"2305003";"2341260";"2406403";"2309741";"2179643";"1959611";"2162434";"2112527";"1431472";"31537465"
"5 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"147131";"199198";"179678";"174632";"188859";"215633";"182466";"238633";"229888";"241544";"269132";"335696";"329926";"296644";"283974";"3513034"
"6 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22687";"79422";"98123";"102699";"127105";"127262";"109450";"114580";"781328"
"7 meses";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8180";"24712";"28775";"31240";"42062";"40123";"31875";"38359";"245326"
"Menor de 1 ano";"10632368";"21712555";"23883193";"30891005";"38231143";"47631268";"55493916";"54616258";"47505825";"40179869";"45737294";"46511025";"39238095";"38393285";"37634343";"44149801";"43363367";"45712497";"53500572";"39897724";"36769098";"37481797";"33163345";"32361728";"31393323";"30592513";"23400519";"1030077726"
"1 ano";"5196931";"6482189";"6027504";"8869348";"10605612";"13594264";"12381695";"12097757";"10772320";"10757610";"14352969";"9865493";"9428232";"9229062";"8744428";"8968379";"12215529";"13828656";"13901621";"19453276";"20631876";"19392540";"20002807";"19416692";"19212731";"19036756";"14567801";"349034078"
"2 anos";"1644714";"2738134";"1941012";"2946481";"3134636";"4474242";"3202255";"2704492";"1988169";"1424482";"6263199";"1027877";"752466";"713301";"601826";"605350";"525543";"844353";"418626";"4404912";"3257961";"778238";"884761";"1277836";"2073020";"1030520";"832852";"52491258"
"3 anos";"945249";"1746352";"1173046";"1792755";"2111903";"3240901";"2410227";"2638706";"1280122";"908144";"6084172";"704481";"437248";"476044";"384011";"371413";"290644";"621647";"228044";"3830938";"2980138";"492736";"400700";"649545";"1472119";"516100";"305401";"38492786"
"4 anos";"1029725";"1452865";"1121886";"1899003";"2240700";"3523598";"2390185";"4131953";"1814506";"938031";"7835963";"1832293";"1713350";"2347584";"3056584";"3733135";"3496227";"4085503";"4158147";"7475558";"6276525";"4874374";"5787587";"5100893";"7008423";"6142164";"6498451";"101965213"
"5 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1598";"785";"58";"6871";"36850";"56573";"16987";"58806";"4230";"3814";"22670";"209242"
"6 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"417";"1607";"2405";"1154";"36644";"881";"1266";"4022";"48396"
"9 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5924";"58521";"1626686";"988868";"1352809";"1163539";"1185587";"929227";"7311161"
"10 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"519";"88282";"1756195";"518435";"810468";"569419";"679418";"459343";"4882079"
"11 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17893";"2386904";"1548095";"363095";"1093532";"2000512";"2322521";"1461557";"11194109"
"12 anos";"0";"0";"0";"0";"0";"0";"946";"41819";"619602";"83029";"77141";"82732";"73670";"205172";"229319";"133095";"103404";"98924";"53440";"61822";"2632245";"2822962";"373069";"3104715";"1734589";"1341593";"777020";"14650308"
"13 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16949";"2623436";"278501";"141822";"2477006";"912844";"766147";"406932";"7623637"
"14 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10340";"281185";"98750";"47842";"650169";"541702";"380526";"206130";"2216644"
"15 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10314";"12765";"21949";"10510";"47355";"162157";"113904";"62903";"441857"
"16 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1230";"7131";"6148";"3993";"14972";"20915";"19367";"7722";"81478"
"17 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"982";"5618";"5135";"3727";"17312";"14094";"8735";"4179";"59782"
"18 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"613";"4420";"4647";"3520";"18193";"17573";"7923";"2298";"59187"
"19 anos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"550";"4248";"4757";"3662";"18019";"16422";"6728";"2469";"56855"
"1 a 2 anos";"0";"0";"0";"0";"0";"0";"588";"53029";"74330";"89373";"74647";"109299";"116113";"139622";"115018";"173717";"52828";"208867";"338010";"175296";"0";"0";"0";"0";"0";"0";"0";"1720737"
"1 a 4 anos";"617036";"4790358";"9731704";"26517478";"26385967";"27003787";"36020882";"28509947";"27067281";"27098244";"26541275";"26526186";"26093351";"25944715";"24508123";"24286303";"23415489";"443082";"630345";"311144";"90731";"63084";"34065";"23187";"13225";"8518";"5563";"392681070"
"1 a 11 anos";"0";"0";"0";"0";"0";"0";"7577499";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7577499"
"2 a 4 anos";"129";"40333";"269";"4481";"65813";"275195";"39137";"157586";"54346";"39069";"48068";"62248";"81071";"104855";"104898";"305816";"259331";"148634";"37327";"22463";"28305";"22368";"6185";"4812";"5198";"40742";"415892";"2374571"
"3 a 8 anos";"0";"0";"0";"0";"0";"0";"1822";"66904";"156002";"184322";"145133";"199685";"216463";"244438";"201913";"278961";"100850";"315284";"841683";"306311";"0";"0";"0";"0";"0";"0";"0";"3259771"
"5 a 6 anos";"437942";"1099163";"594575";"1643698";"2727773";"3388610";"2761798";"3176040";"3091893";"2996046";"4163839";"4013628";"3230755";"3100785";"2735682";"3055197";"2774139";"3057610";"2036064";"1423228";"1010547";"876403";"242462";"160188";"152985";"138159";"110420";"54199629"
