 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Mês do Óbito e Ano do Óbito
Causas evitáveis: 1.1. Reduzível pelas ações de imunização
Faixa Etária: 0 a 6 dias, 7 a 27 dias, 28 a 364 dias
Período:1996-2018
"Mês do Óbito";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"Janeiro";14;10;14;15;3;8;8;5;7;6;10;-;6;2;4;3;12;16;18;13;5;1;2;182
"Fevereiro";17;12;11;9;8;4;5;2;3;2;2;2;3;1;-;3;4;6;13;6;2;3;4;122
"Março";19;12;20;12;13;10;6;5;2;2;1;2;3;2;3;4;9;7;8;5;1;2;2;150
"Abril";14;15;11;10;8;5;2;3;2;2;1;2;3;3;3;2;8;11;19;4;1;1;1;131
"Maio";19;16;16;12;11;12;3;7;1;7;3;4;3;6;7;5;3;8;16;3;-;3;4;169
"Junho";13;18;13;10;7;6;5;4;4;6;3;3;1;4;-;4;12;6;9;3;3;4;4;142
"Julho";12;23;16;11;8;7;6;3;5;3;3;2;1;2;2;8;10;6;10;2;5;-;1;146
"Agosto";15;13;7;5;6;6;8;7;4;3;5;3;3;1;2;4;7;8;16;2;2;5;7;139
"Setembro";15;19;14;11;7;5;6;3;5;1;5;2;4;2;1;7;10;8;10;5;2;2;-;144
"Outubro";10;10;7;7;9;6;1;6;3;4;3;5;4;1;5;6;12;9;9;2;-;1;-;120
"Novembro";12;8;11;7;4;4;3;5;-;2;3;6;5;2;4;9;7;10;9;3;2;2;2;120
"Dezembro";8;10;10;6;10;5;4;5;4;2;1;1;4;4;1;4;8;12;12;3;-;4;1;119
"Ignorado";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";168;167;150;115;94;78;57;55;40;40;40;32;40;30;32;59;102;107;149;51;23;28;28;1685
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
