 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Ocorrênc por Causas evitáveis e Ano do Óbito
Período:1996-2018
"Causas evitáveis";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"1. Causas evitáveis";60242;57550;57533;55017;52490;48406;46277;45028;42430;40914;38617;36174;34726;33604;31149;30769;30124;30104;29241;28191;27316;27273;26598;909773
"1.1. Reduzível pelas ações de imunização";230;258;208;160;121;106;90;73;62;48;56;44;50;35;47;66;113;112;164;57;30;45;36;2211
".. Tuberculose do sistema nervoso";25;38;25;19;16;16;18;11;17;4;14;8;8;4;8;7;4;3;10;2;7;5;6;275
".. Tuberculose miliar";16;20;10;11;9;7;5;9;8;7;4;2;5;3;5;4;5;5;5;1;2;2;2;147
".. Tétano neonatal";39;36;30;30;18;19;16;7;7;4;6;2;3;3;4;4;1;3;1;1;1;-;-;235
".. Tétano";8;4;7;3;-;1;2;1;1;1;-;-;-;-;-;1;1;-;2;-;1;1;1;35
".. Difteria";18;10;12;3;3;5;11;2;-;-;-;-;1;2;1;1;1;2;1;1;2;3;2;81
".. Coqueluche";18;18;22;24;27;10;12;19;19;21;20;18;18;12;17;39;91;89;133;40;9;17;8;701
".. Sarampo";2;27;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6;38
".. Rubéola";2;3;1;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;10
".. Hepatite aguda B";3;7;7;4;5;4;5;5;1;3;7;3;1;4;-;1;2;-;1;-;-;1;-;64
".. Caxumba";1;6;2;2;3;2;1;1;2;1;-;1;3;-;1;-;-;-;1;2;1;4;1;35
".. Meningite por Haemophilus";59;59;79;46;17;17;7;5;1;3;1;4;3;5;5;7;5;7;7;6;4;9;9;365
".. Síndrome da rubéola congênita";35;26;7;13;16;17;9;9;4;-;-;5;5;2;3;-;2;2;1;-;-;3;-;159
".. Hepatite viral congênita";4;4;4;5;7;8;4;2;2;4;4;1;2;-;3;2;1;-;2;3;3;-;1;66
"1.2. Reduz.atenção gestação parto feto recém-nasc";35466;35675;34161;34947;34090;31888;30828;29496;28285;27427;26395;25251;24590;23904;22423;22309;21814;21540;21368;21035;20017;20429;19860;613198
"1.2.1 Reduzíveis atenção à mulher na gestação";13859;13061;12439;12833;12804;11863;11850;12244;11589;11573;12003;11454;11333;10871;10638;10587;10381;10613;10528;10109;9683;10030;10010;262355
